,title,description,tags,release_date,ISBN_number,publisher,author_name,author_birth_year,pages,related_courses,format,rating,edition,title_corrected,description_corrected
15,Cybersecurity Essentials,An essential guide to understanding cybersecurity principles and best practices.,"['cybersecurity', 'principles', 'best practices']",2018-11-10,978-1-119-52589-2,,Xavieer Smith,1985.0,,,,,,Cybersecurity Essentials,An essential guide to understanding cybersecurity principles and best practices .
16,The Art of Programming,A comprehensive guide to mastering programming languages and algorithms.,"['programming', 'algorithms', 'education']",2020-05-15,978-3-16-148410-0,TechPublishing Inc.,Xander Smith,1985.0,,,,,,The Art of Programming,A comprehensive guide to mastering programming languages and algorithms .
17,Cybersecurity Essentials,An essential primer on cybersecurity principles and best practices for IT students.,"['cybersecurity', 'IT', 'networks']",2018-10-20,978-1-25-416789-2,SecureBooks Ltd.,Xander Smith,1985.0,,,,,,Cybersecurity Essentials,An essential primer on cybersecurity principles and best practices for IT students .
18,Data Science Fundamentals,A beginner's guide to data science concepts and tools for aspiring IT professionals.,"['data science', 'analytics', 'big data']",2019-04-30,978-0-99-732145-7,DataWorks Co.,Xander Smith,1985.0,,,,,,Data Science Fundamentals,A beginner ' s guide to data science concepts and tools for aspiring IT professionals .
19,Data Science Fundementals,A deep dive into the core concepts of data science and analytics.,"['data', 'science', 'analytics']",2019-11-10,978-3-2109-8765-4,,Xander Smith,1985.0,420.0,,,,,Data Science Fundamentals,A deep dive into the core concepts of data science and analytics .
20,The Art of Coding: A Comprehensive Guide,This book covers the fundementals of programming and software development.,"['programming', 'software development', 'coding']",2020-08-15,978-3-16-148410-0,TechWise Publications,Xander Smith,1985.0,,,,,,The Art of Coding : A Comprehensive Guide,This book covers the fundamentals of programming and software development .
21,The Art of Coding,A comprehensive guide to programming and software development.,"['programming', 'software development', 'education']",2020-08-15,978-1-2345-6789-0,TechBooks Inc.,Johann Smiht,,,,,,,The Art of Coding,A comprehensive guide to programming and software development .
22,Network Security Fundamentals,Exploring the essentials of securing computer networks.,"['network security', 'cybersecurity', 'IT education']",2018-05-20,978-0-5432-1987-6,InfoSec Publishing,Johann Smiht,,,,,,,Network Security Fundamentals,Exploring the essentials of securing computer networks .
23,Data Science Essentials,An introduction to data analysis and machine learning techniques.,"['data science', 'machine learning', 'analytics']",2019-11-10,978-3-2109-8765-4,DataWorks Ltd.,Johann Smiht,,,,,,,Data Science Essentials,An introduction to data analysis and machine learning techniques .
24,The Art of Computer Science,A comprehensive guide to the principles and practices of computer science education.,"['computer science', 'education', 'programming']",2012-08-15,978-0-13-359414-0,TechBooks Inc.,Johann Smiht,,,,,,,The Art of Computer Science,A comprehensive guide to the principles and practices of computer science education .
25,The Art of Programming,A comprehensive guide to mastering programming languages and algorithms.,"['programming', 'algorithms', 'education']",2020-08-15,978-1-2345-6789-0,,Xander Smith,1985.0,350.0,,,,,The Art of Programming,A comprehensive guide to mastering programming languages and algorithms .
26,Cybersecurity Essentials,An introductory book on cybersecurity principles and practices.,"['cybersecurity', 'networks', 'essentials']",2018-05-20,978-0-5432-1897-6,,Xander Smith,1985.0,280.0,,,,,Cybersecurity Essentials,An introductory book on cybersecurity principles and practices .
27,Data Science Fundementals,A deep dive into the core concepts of data science and analytics.,"['data', 'science', 'analytics']",2019-11-10,978-3-2109-8765-4,,Xander Smith,1985.0,420.0,,,,,Data Science Fundamentals,A deep dive into the core concepts of data science and analytics .
28,Cybersecurity Essentials,Learn the fundamental concepts of cybersecurity and its importance in IT education.,"['cybersecurity', 'IT', 'networks']",2019-10-08,978-1-25-814720-7,,Xander Smith,1985.0,,,,,,Cybersecurity Essentials,Learn the fundamental concepts of cybersecurity and its importance in IT education .
29,Netwrok Security Fundamentalls,Exploring the core principles of network security and cyber defense.,"['network security', 'cyber defense', 'information security']",2018-11-30,978-1-25-680011-2,CyberSafe Publications,Xander Smith,1985.0,,,,,,Network Security Fundamentals,Exploring the core principles of network security and cyber defense .
30,The Fundamentals of Cybersecurity,A comprehensive guide to cybersecurity principles and best practices for IT professionals.,"['cybersecurity', 'IT security', 'network protection']",2020-06-15,978-1-234567-89-0,TechBooks Inc.,Xavier LeClerc,1978.0,,,,,,The Fundamentals of Cybersecurity,A comprehensive guide to cybersecurity principles and best practices for IT professionals .
31,Data Science Essentials,"An introductory book on data science, covering statistical analysis and machine learning algorithms.","['data science', 'machine learning', 'statistics']",2018-11-30,978-0-987654-32-1,DataWorks Publishing,Xavier LeClerc,1978.0,,,,,,Data Science Essentials,"An introductory book on data science , covering statistical analysis and machine learning algorithms ."
32,Cloud Computing Basics,A beginner's guide to understanding cloud computing and its applications in modern IT infrastructure.,"['cloud computing', 'virtualization', 'distributed systems']",2019-04-25,978-5-432109-87-6,CloudTech Press,Xavier LeClerc,1978.0,,,,,,Cloud Computing Basics,A beginner ' s guide to understanding cloud computing and its applications in modern IT infrastructure .
33,The Art of Computer Science Education,A comprehensive guide to teaching computer science concepts in a fun and engaging way.,"['computer', 'science', 'education']",2020-08-15,978-1-234567-89-0,,Xavier LeClerc,1978.0,,,ebook,,,The Art of Computer Science Education,A comprehensive guide to teaching computer science concepts in a fun and engaging way .
34,Data Analytics Essentials,A practical approach to understanding data analytics in IT education.,"['data', 'analytics', 'statistics']",2018-03-10,978-1-119-28069-7,,Xavier LeClerc,1978.0,,,paperback,,,Data Analytics Essentials,A practical approach to understanding data analytics in IT education .
35,The Fundamentals of Data Science,A comprehensive guide to data science concepts and techniques for beginners.,"['data', 'science', 'beginners']",2020-06-15,978-3-16-148410-0,TechEdu Publishing,Dr. Alica Smiht,1978.0,,,,,,The Fundamentals of Data Science,A comprehensive guide to data science concepts and techniques for beginners .
36,Cybersecurity Essentials,An essential book for understanding the basics of cybersecurity in educational settings.,"['cybersecurity', 'basics', 'educational']",2018-12-20,978-1-25-618302-4,InfoTech Books,Dr. Alica Smiht,1978.0,,,,,,Cybersecurity Essentials,An essential book for understanding the basics of cybersecurity in educational settings .
37,Web Development for Educators,A practical handbook for educators looking to teach web development skills effectively.,"['web', 'development', 'educators']",2019-08-10,978-5-28-914761-7,CodeMaster Press,Dr. Alica Smiht,1978.0,,,,,,Web Development for Educators,A practical handbook for educators looking to teach web development skills effectively .
38,The Art of Computer Science,A compreensive guide to computer science principles and practices.,"['computer', 'science', 'guide']",2015-08-20,978-0-13-359414-0,,Jennifir Smoth,1978.0,,"['Algorithms', 'Data Structures']",,,,The Art of Computer Science,A comprehensive guide to computer science principles and practices .
39,Netwroking Essentials,An in-depth look at networking fundamentals and best practices.,"['networking', 'fundamentals', 'best practices']",2012-04-15,978-1-118-19219-3,,Jennifir Smoth,1978.0,,"['Network Security', 'Wireless Technologies']",,,,Networking Essentials,An in - depth look at networking fundamentals and best practices .
40,Web Development Masterclass,A comprehensive guide to modern web development techniques and tools.,"['web', 'development', 'techniques', 'tools']",2018-11-30,978-1-449-36967-4,,Jennifir Smoth,1978.0,,"['HTML/CSS', 'JavaScript Frameworks']",,,,Web Development Masterclass,A comprehensive guide to modern web development techniques and tools .
41,Data Analytics Essentials,A practical approach to understanding data analytics in IT education.,"['data', 'analytics', 'statistics']",2018-03-10,978-1-119-28069-7,,Jennifir Smoth,1978.0,,,paperback,,,Data Analytics Essentials,A practical approach to understanding data analytics in IT education .
42,The Art of Computer Science,A comprehensive guide to computer science principles and practices.,"['computer science', 'programming', 'algorithms']",2020-08-15,978-3-16-148410-0,,Xavir Smith,1985.0,,,hardcover,,,The Art of Computer Science,A comprehensive guide to computer science principles and practices .
43,Data Structures Demystified,An accessible introduction to data structures for IT students.,"['data structures', 'algorithms', 'IT education']",2018-05-20,978-1-23-456789-0,,Xavir Smith,1985.0,,,paperback,,,Data Structures Demystified,An accessible introduction to data structures for IT students .
44,Cybersecurity Essentials,Essential concepts and best practices in cybersecurity for beginners.,"['cybersecurity', 'network security', 'IT education']",2019-11-10,978-0-00-000001-4,,Xavir Smith,1985.0,,,ebook,,,Cybersecurity Essentials,Essential concepts and best practices in cybersecurity for beginners .
45,Netwroking Fundementals,Exploring the fundementals of netwroking in Information Technology education.,"['netwroking', 'fundementals', 'education']",2018-06-15,978-1-119-50485-7,,Xavir Smith,1985.0,,,,4.5,,Networking Fundamentals,Exploring the fundamentals of networking in Information Technology education .
46,The Art of Computer Programming,This book is a comprehensive guide to computer programming and algorithms.,"['programming', 'algorithms', 'computer science']",2001-09-10,978-0201896831,,Alyssa Paker,1985.0,,,,,,The Art of Computer Programming,This book is a comprehensive guide to computer programming and algorithms .
47,"Netwroks, Crowds, and Markets: Reasoning About a Highly Connected World",An interdisciplinary look at the structure of networks and their role in society.,"['networks', 'society', 'interdisciplinary']",2010-06-15,978-0521195331,,Alyssa Paker,1985.0,,,,,,"Networks , Crowds , and Markets : Reasoning About a Highly Connected World",An interdisciplinary look at the structure of networks and their role in society .
48,Infomation Technology Project Management,This book provides practical insights into managing IT projects effectively.,"['project management', 'IT', 'practical']",2016-03-20,978-1285452340,,Alyssa Paker,1985.0,,,,,,Information Technology Project Management,This book provides practical insights into managing IT projects effectively .
49,Cybersecurity Essentials,Learn the fundamental concepts of cybersecurity and its importance in IT education.,"['cybersecurity', 'IT', 'networks']",2019-10-08,978-1-25-814720-7,,Alyssa Paker,1985.0,,,,,,Cybersecurity Essentials,Learn the fundamental concepts of cybersecurity and its importance in IT education .
50,The Art of Programming,A comprehensive guide to software development and coding practices for beginners.,"['programming', 'software development', 'coding']",2020-06-15,978-1-2345-6789-0,TechPub Inc.,Alyssa Paker,1985.0,,,,,,The Art of Programming,A comprehensive guide to software development and coding practices for beginners .
51,The Art of Computer Science,A compreehensive guide to computer science education.,"['computer', 'science', 'education']",2020-05-15,978-3-16-148410-0,TechPub Inc.,Xavieer Smiith,,,,,,,The Art of Computer Science,A comprehensive guide to computer science education .
52,Cybersecurity Fundamentals,An in-depth look at the fundamentals of cybersecurity for IT students.,"['cybersecurity', 'fundamentals', 'IT']",2018-11-20,978-1-23-456789-0,SecureBooks Ltd.,Xavieer Smiith,,,,,,,Cybersecurity Fundamentals,An in - depth look at the fundamentals of cybersecurity for IT students .
53,Data Structures and Algorithms Explained,A practical approach to understanding data structures and algorithms for aspiring programmers.,"['data', 'structures', 'algorithms', 'programmers']",2019-08-10,978-5-55-123456-7,CodeMasters Publishing,Xavieer Smiith,,,,,,,Data Structures and Algorithms Explained,A practical approach to understanding data structures and algorithms for aspiring programmers .
54,Data Science Fundamentals,A beginner's guide to data science concepts and tools for aspiring IT professionals.,"['data science', 'analytics', 'big data']",2019-04-30,978-0-99-732145-7,DataWorks Co.,Xavieer Smiith,,,,,,,Data Science Fundamentals,A beginner ' s guide to data science concepts and tools for aspiring IT professionals .
55,Cybersecurity Fundamentls for Students,"A practical approach to teaching cybersecurity concepts to IT students, with hands-on exercises and case studies.","['cybersecurity', 'IT education', 'network security']",2019-10-20,978-1-25-648301-2,SecureEd Publishing,Xavieer Smiith,,,,,,,Cybersecurity Fundamentals for Students,"A practical approach to teaching cybersecurity concepts to IT students , with hands - on exercises and case studies ."
56,The Art of Computer Science,A comprehensive guide to computer science principles and applications.,"['computer science', 'programming', 'algorithms']",2020-08-15,978-1-234567-89-0,,Lavina D'Costa,,,,hardcover,,,The Art of Computer Science,A comprehensive guide to computer science principles and applications .
57,Cybersecurity Essentials,An introductory book on cybersecurity for IT students.,"['cybersecurity', 'network security', 'risk management']",2018-05-20,978-0-987654-32-1,,Lavina D'Costa,,,,ebook,,,Cybersecurity Essentials,An introductory book on cybersecurity for IT students .
58,Data Analytics Fundamentals,A beginner's guide to data analytics in the context of IT education.,"['data analytics', 'big data', 'data visualization']",2019-11-10,978-6-543210-98-7,,Lavina D'Costa,,,,paperback,,,Data Analytics Fundamentals,A beginner ' s guide to data analytics in the context of IT education .
59,The Art of Coding: A Comprehensive Guide,This book covers the fundementals of programming and software development.,"['programming', 'software development', 'coding']",2020-08-15,978-3-16-148410-0,TechWise Publications,Lynxie McTech,1985.0,,,,,,The Art of Coding : A Comprehensive Guide,This book covers the fundamentals of programming and software development .
60,Cybersecurity Essentials: Protecting Your Digital World,A practical handbook for understanding and implementing cybersecurity measures.,"['cybersecurity', 'digital security', 'network protection']",2018-05-20,978-1-25-680932-2,SecureTech Books,Lynxie McTech,1985.0,,,,,,Cybersecurity Essentials : Protecting Your Digital World,A practical handbook for understanding and implementing cybersecurity measures .
61,Data Science Foundations: From Theory to Practice,An in-depth exploration of data science principles and their real-world applications.,"['data science', 'machine learning', 'big data']",2019-11-10,978-4-80-731905-7,Insightful Press,Lynxie McTech,1985.0,,,,,,Data Science Foundations : From Theory to Practice,An in - depth exploration of data science principles and their real - world applications .
62,Cybersecurity Essentials,Essential concepts of cybersecurity for IT students and professionals.,"['cybersecurity', 'essentials', 'education']",2017-11-30,978-1-58713-345-1,,Lynxie McTech,1985.0,,,,,,Cybersecurity Essentials,Essential concepts of cybersecurity for IT students and professionals .
63,We,A dystopian novel set in a futuristic society where individualism is suppressed.,"['dystopian', 'society', 'suppression']",1924-12-27,9780140185850,,Yevgeny Zamyatin,,,,paperback,,,We,A dystopian novel set in a futuristic society where individualism is suppressed .
64,The Islanders,An exploration of the impact of technology on human relationships and societal structures.,"['technology', 'relationships', 'societal structures']",2022-06-15,9781982126816,,Yevgeny Zamyatin,,,,hardcover,,,The Islanders,An exploration of the impact of technology on human relationships and societal structures .
65,Pythn Programming for Beginners,Learn Python programming from scratch with hands-on examples and exercises.,"['Python', 'programming', 'beginners']",2019-03-20,978-1-59327-603-4,,Yevgeny Zamyatin,,,,,,,Match Programming for Beginners,Learn Python programming from scratch with hands - on examples and exercises .
66,The Art of Computer Science,A compreehensive guide to computer science education.,"['computer', 'science', 'education']",2020-05-15,978-3-16-148410-0,TechPub Inc.,Yevgeny Zamyatin,,,,,,,The Art of Computer Science,A comprehensive guide to computer science education .
67,The Fundamentels of Coding,A comprehensive guide to learning the basics of programming and software development.,"['coding', 'programming', 'software development']",2020-05-15,978-1-234567-89-0,TechMaster Publishing,Yevgeny Zamyatin,,,,,,,The Fundamentals of Coding,A comprehensive guide to learning the basics of programming and software development .
68,Netwrok Security Fundamentalls,Exploring the core principles of network security and cyber defense.,"['network security', 'cyber defense', 'information security']",2018-11-30,978-1-25-680011-2,CyberSafe Publications,Yevgeny Zamyatin,,,,,,,Network Security Fundamentals,Exploring the core principles of network security and cyber defense .
69,Netwokr Security Essentials,An introduction to network security principles and practices.,"['network security', 'cybersecurity', 'encryption']",2009-08-11,9780136108054,Pearson Education,Yevgeny Zamyatin,,,,,,,Network Security Essentials,An introduction to network security principles and practices .
70,The Art of Computer Scence,A comprehensive guide to computer scince principles and practises.,"['computer', 'scince', 'principles']",2010-05-15,978-0-1234567-8-9,TechPub Inc.,Xavier Smith,1985.0,,,,,,The Art of Computer Science,A comprehensive guide to computer science principles and practises .
71,Cybersecurity Essentials,Essential concepts in cybersecurity for IT students.,"['cybersecurity', 'essentials', 'IT']",2015-10-20,978-0-9876543-2-1,InfoSec Press,Xavier Smith,1985.0,,,,,,Cybersecurity Essentials,Essential concepts in cybersecurity for IT students .
72,Data Analytics Fundamntals,An introductory book on data analytics for beginners.,"['data', 'analytics', 'fundamntals']",2018-03-12,978-0-2468013-5-7,DataWorks Ltd.,Xavier Smith,1985.0,,,,,,Data Analytics Fundamentals,An introductory book on data analytics for beginners .
73,Cybersecurity Essentials,Essential concepts of cybersecurity for IT students and professionals.,"['cybersecurity', 'essentials', 'education']",2017-11-30,978-1-58713-345-1,,Xavier Smith,1985.0,,,,,,Cybersecurity Essentials,Essential concepts of cybersecurity for IT students and professionals .
74,Cybersecurity Fundementals,A beginner's guide to cybersecurity concepts and best practices.,"['cybersecurity', 'information security', 'threat detection']",2019-04-12,978-3-2109-8765-4,SecurePress,Xavier Smith,1985.0,240.0,,,,,Cybersecurity Fundamentals,A beginner ' s guide to cybersecurity concepts and best practices .
75,Cybersecurity Fundamentals,An introductory book on cybersecurity for beginners.,"['cybersecurity', 'network security', 'data protection']",2018-05-20,978-1-119-50458-2,SecurePress,Xavier Smith,1985.0,250.0,,,,,Cybersecurity Fundamentals,An introductory book on cybersecurity for beginners .
76,Hary Potter and the Philosopher's Stone,A young wizard's first year at Hogwarts School of Witchcraft and Wizardry.,"['wizardry', 'magic', 'adventure']",1997-06-26,9780590353427,Bloomsbury Publishing,J.K. Rowling,1965.0,,,,,,Harry Potter and the Philosopher ' s Stone,A young wizard ' s first year at Hogwarts School of Witchcraft and Wizardry .
77,Harry Potter and the Chamber of Secrets,The second year at Hogwarts brings more perilous adventures for Harry Potter.,"['wizardry', 'magic', 'adventure']",1998-07-02,9780439064866,Scholastic Inc.,J.K. Rowling,1965.0,,,,,,Harry Potter and the Chamber of Secrets,The second year at Hogwarts brings more perilous adventures for Harry Potter .
78,Harry Potter and the Prisoner of Azkaban,Harry learns that a dangerous criminal has escaped from the wizard prison Azkaban.,"['wizardry', 'magic', 'adventure']",1999-07-08,9780439136358,Arthur A. Levine Books,J.K. Rowling,1965.0,,,,,,Harry Potter and the Prisoner of Azkaban,Harry learns that a dangerous criminal has escaped from the wizard prison Azkaban .
79,The Art of Proggramming,A comprehensive guide to software development and coding practices.,"['programming', 'software development', 'coding']",2016-08-15,978-0-1234567-8-9,TechPub Inc.,Jennifir Smith,1975.0,,,,,,The Art of Proggramming,A comprehensive guide to software development and coding practices .
80,Netwroking Essentials,An introduction to networking concepts and technologies for beginners.,"['networking', 'IT essentials', ""beginner's guide""]",2014-03-20,978-1-2345678-9-0,InfoBooks Co.,Jennifir Smith,1975.0,,,,,,Networking Essentials,An introduction to networking concepts and technologies for beginners .
81,Cybersecurity Fundementals,Exploring the basics of cybersecurity and its importance in modern IT education.,"['cybersecurity', 'information security', 'IT fundamentals']",2018-11-05,978-2-3456789-0-1,SecurePress Ltd.,Jennifir Smith,1975.0,,,,,,Cybersecurity Fundamentals,Exploring the basics of cybersecurity and its importance in modern IT education .
82,Pythn Programming for Beginners,Learn Python programming from scratch with hands-on examples and exercises.,"['Python', 'programming', 'beginners']",2019-03-20,978-1-59327-603-4,,Jennifir Smith,1975.0,,,,,,Match Programming for Beginners,Learn Python programming from scratch with hands - on examples and exercises .
83,The Art of Proggramming,"This book covers the fundementals of proggramming and software development, with a focus on practical applications for Information Techonology students.","['proggramming', 'software development', 'IT education']",2020-07-15,978-3-16-148410-0,TechPub,Jennifir Smith,1975.0,320.0,,,,,The Art of Proggramming,"This book covers the fundamentals of programming and software development , with a focus on practical applications for Information Technology students ."
84,The Art of Computer Science Education,A comprehensive guide to teaching computer science concepts in a fun and engaging way.,"['computer', 'science', 'education']",2020-08-15,978-1-234567-89-0,,Jennifir Smith,1985.0,,,ebook,,,The Art of Computer Science Education,A comprehensive guide to teaching computer science concepts in a fun and engaging way .
85,Coding for Kids: A Beginner's Guide,Introduce children to the world of coding with easy-to-follow exercises and projects.,"['coding', 'kids', 'beginner', 'guide']",2018-05-20,978-0-987654-32-1,,Jennifir Smith,1985.0,,,paperback,,,Coding for Kids : A Beginner ' s Guide,Introduces children to the world of coding with easy - to - follow exercises and projects .
86,Interactive Learning with Technology,Explore innovative ways to integrate technology into the classroom for effective learning experiences.,"['interactive', 'learning', 'technology', 'classroom']",2019-11-10,978-6-543210-98-7,,Jennifir Smith,1985.0,,,hardcover,,,Interactive Learning with Technology,Explore innovative ways to integrate technology into the classroom for effective learning experiences .
87,Introductoin to Data Science,A comprehensive guide to data science and its applications in the field of IT education.,"['data', 'science', 'IT', 'education']",2020-05-15,978-3-16-148410-0,TechBooks Inc.,Lavina Smith,,,,,,,Introduction to Data Sciences,A comprehensive guide to data science and its applications in the field of IT education .
88,Cybersecurity Fundementals,An overview of cybersecurity concepts and practices for students pursuing an IT education.,"['cybersecurity', 'fundamentals', 'IT', 'education']",2018-11-20,978-1-23-456789-0,SecurePress,Lavina Smith,,,,,,,Cybersecurity Fundamentals,An overview of cybersecurity concepts and practices for students pursuing an IT education .
89,Cloud Computing Essentials,A practical approach to understanding cloud computing for IT education purposes.,"['cloud', 'computing', 'essentials', 'IT', 'education']",2019-08-10,978-5-55-555555-5,CloudPub,Lavina Smith,,,,,,,Cloud Computing Essentials,A practical approach to understanding cloud computing for IT education purposes .
90,The Art of Computer Science,A compreehensive guide to computer science education.,"['computer', 'science', 'education']",2020-05-15,978-3-16-148410-0,TechPub Inc.,Lavina Smith,,,,,,,The Art of Computer Science,A comprehensive guide to computer science education .
91,Cybersecurity Fundametnals,A beginner's guide to understanding cybersecurity principles and best practices.,"['cybersecurity', 'information security', 'risk management']",2018-11-10,978-0-74-921637-7,SecureEd Publishing,Lavina Smith,,,,,,,Cybersecurity Fundamentals,A beginner ' s guide to understanding cybersecurity principles and best practices .
92,The Art of Computer Science,A comprehensive guide to computer science fundamentals and programming principles.,"['computer', 'science', 'programming', 'principles']",2012-08-15,978-0-1234567-0-3,TechKnowledge Publishing,Johann Smiht,1975.0,,,,,,The Art of Computer Science,A comprehensive guide to computer science fundamentals and programming principles .
93,Cybersecurity Essentials,An introductory book on cybersecurity practices and techniques for IT professionals.,"['cybersecurity', 'IT', 'techniques']",2016-05-20,978-0-7654321-0-9,SecureTech Press,Johann Smiht,1975.0,,,,,,Cybersecurity Essentials,An introductory book on cybersecurity practices and techniques for IT professionals .
94,Data Structures and Algorithms in Python,A hands-on approach to learning data structures and algorithms using Python programming language.,"['data', 'structures', 'algorithms', 'Python']",2018-11-30,978-0-9876543-0-5,CodeMasters Inc.,Johann Smiht,1975.0,,,,,,Data Structures and Algorithms in Python,A hands - on approach to learning data structures and algorithms using Python programming language .
95,Netw0rk Security Fundament@ls,"An essential book covering the basics of network security, including firewalls, encryption, and intrusion detection systems.","['network security', 'firewalls', 'encryption', 'intrusion detection']",2018-10-20,978-0-5432-1897-6,CyberSafe Publishing,Johann Smiht,1975.0,,,,,,Network Security Fundamental @ ls,"An essential book covering the basics of network security , including firewalls , encryption , and intrusion detection systems ."
96,The Art of Proggramming,A comprehensive guide to mastering programming languages and algorithms.,"['programming', 'algorithms', 'education']",2020-05-15,978-0-1234567-8-9,TechEdu Publishing,Johann Doe,1982.0,,,,,,The Art of Proggramming,A comprehensive guide to mastering programming languages and algorithms .
97,Data Structures Demystified,Exploring the fundamental concepts of data structures for IT students.,"['data structures', 'IT education', 'coding']",2018-10-20,978-0-9876543-2-1,InfoTech Books,Johann Doe,1982.0,,,,,,Data Structures Demystified,Exploring the fundamental concepts of data structures for IT students .
98,Networking Essentials,A practical approach to understanding networking principles for beginners.,"['networking', 'IT essentials', 'communication']",2016-03-12,978-0-2468101-1-2,NetCom Education,Johann Doe,1982.0,,,,,,Networking Essentials,A practical approach to understanding networking principles for beginners .
99,Data Science Essentials,"An introductory book on data science, covering statistical analysis and machine learning algorithms.","['data science', 'machine learning', 'statistics']",2018-11-30,978-0-987654-32-1,DataWorks Publishing,Johann Doe,1982.0,,,,,,Data Science Essentials,"An introductory book on data science , covering statistical analysis and machine learning algorithms ."
100,Data Science Foundations: From Theory to Practice,An in-depth exploration of data science principles and their applications in education.,"['data science', 'education applications']",2019-11-10,978-3-2109-8765-4,DataWorks Publishing,Johann Doe,1982.0,,,,,,Data Science Foundations : From Theory to Practice,An in - depth exploration of data science principles and their applications in education .
101,Cybersecurity Fundamentals,An introductory book on cybersecurity for beginners.,"['cybersecurity', 'network security', 'data protection']",2018-05-20,978-1-119-50458-2,SecurePress,Johann Doe,1982.0,250.0,,,,,Cybersecurity Fundamentals,An introductory book on cybersecurity for beginners .
